# timestamp(s) wx wy wz ax ay az
1430532999.710278034 -3.638713340 -0.232528159 0.012265090 -10.676169205 -4.129799211 -7.423451123
1430532999.720278025 -4.408215285 -0.144402117 -0.038984055 -10.707768615 -3.564597778 -6.973779994
1430532999.730278254 -4.866474019 -0.090099237 -0.068903879 -10.643749793 -2.856142246 -6.667130833
1430532999.740278244 -5.066616866 -0.054036051 -0.092797585 -10.559260498 -2.246539382 -6.437405506
1430532999.750278234 -5.058157945 -0.037168609 -0.100672337 -10.512156241 -1.527792615 -6.221072657
1430532999.760277987 -4.894083254 -0.041994948 -0.109135275 -10.422868284 -0.845054934 -6.010461368
1430532999.770278215 -4.626145242 -0.049125246 -0.102314687 -10.386478294 -0.116226766 -5.848968397
1430532999.780278206 -4.302464974 -0.067528001 -0.099769295 -10.272346842 0.689262000 -5.763398771
1430532999.790278196 -3.984537421 -0.081729584 -0.095906958 -10.189298346 1.447514078 -5.638953630
1430532999.800277948 -3.709689114 -0.094532609 -0.093504330 -10.084736408 2.297060559 -5.534261490
1430532999.810278177 -3.541070694 -0.101601877 -0.085345661 -9.954011905 3.269706851 -5.507394184
1430532999.820278168 -3.510028906 -0.092298141 -0.071499956 -9.815467031 4.101161850 -5.323003351
1430532999.830278158 -3.608715581 -0.069608802 -0.056935391 -9.659919991 4.860172770 -5.065902998
1430532999.840277910 -3.804785909 -0.041125165 -0.043536183 -9.484376101 5.515110007 -4.615026704
1430532999.850278139 -4.065789804 -0.003000216 -0.024516945 -9.364723758 5.946491965 -3.959033549
1430532999.860278368 -4.369872398 0.034875591 -0.007775189 -9.180861215 6.216045768 -3.244064807
1430532999.870278120 -4.684790666 0.075836251 0.012214335 -8.986884019 6.361569679 -2.361918587
1430532999.880278111 -4.979643449 0.111067952 0.024670150 -8.768727350 6.231368776 -1.374274247
1430532999.890278101 -5.232024903 0.148439946 0.036766428 -8.644488380 5.919049134 -0.340067161
1430532999.900278330 -5.408620686 0.172207013 0.043297310 -8.390974042 5.310910503 0.755050056
1430532999.910278082 -5.483864652 0.192731260 0.038953782 -8.251233046 4.464575549 1.871808817
1430532999.920278072 -5.429847568 0.200963202 0.028719272 -8.047780442 3.461999138 2.853227795
1430532999.930278063 -5.270608974 0.201217332 0.011034465 -7.897736391 2.589824258 3.683413909
1430532999.940278292 -5.035349180 0.191086514 -0.018249631 -7.807079972 1.737092401 4.323150267
1430532999.950278044 -4.734783991 0.175850078 -0.048134740 -7.827334049 1.084197141 4.935423498
1430532999.960278034 -4.412405643 0.156521051 -0.082052353 -7.886278425 0.504671405 5.398989931
1430532999.970278263 -4.082881609 0.136357195 -0.115817267 -8.011549698 0.068654125 5.769293085
1430532999.980278254 -3.779956733 0.113824720 -0.148441260 -8.132029441 -0.185245273 6.159813530
1430532999.990278244 -3.530902772 0.092440724 -0.169586208 -8.358582006 -0.319204331 6.463242612
1430533000.000277996 -3.358844827 0.069918042 -0.193495762 -8.676561464 -0.313032429 6.738906733
1430533000.010278225 -3.289282820 0.047343562 -0.201385660 -8.987965182 -0.140246522 7.074089494
1430533000.020278215 -3.341220011 0.027319049 -0.199951989 -9.272258071 0.124821460 7.293560105
1430533000.030278206 -3.505332489 0.011954119 -0.188099382 -9.559832555 0.338152837 7.241560206
1430533000.040277958 -3.748498415 -0.005590396 -0.169821147 -9.764069130 0.532717951 6.995623985
1430533000.050278187 -4.054522796 -0.024603241 -0.142486816 -9.920003157 0.757995432 6.534437614
1430533000.060278177 -4.386034295 -0.041435059 -0.117876838 -9.910028532 1.031045930 5.914528241
1430533000.070278168 -4.728698055 -0.053423785 -0.091913976 -9.934848002 1.362866548 4.978143451
1430533000.080277920 -5.050886149 -0.068620709 -0.069435619 -9.819412283 1.797172670 3.905228084
1430533000.090278149 -5.330987430 -0.081106179 -0.055301329 -9.636009889 2.442555863 2.576545216
1430533000.100278378 -5.535404058 -0.086047105 -0.044499121 -9.414364068 3.227490181 1.135430272
1430533000.110278130 -5.645836004 -0.093082054 -0.049351289 -9.123781615 4.277457365 -0.393729178
1430533000.120278120 -5.640112532 -0.090751371 -0.067146947 -8.856802826 5.472501620 -1.880726488
1430533000.130278111 -5.535472122 -0.084059251 -0.092128714 -8.585576139 6.644643902 -2.850595892
1430533000.140278339 -5.343602684 -0.073216253 -0.121071738 -8.426831078 7.612518571 -3.488266041
1430533000.150278091 -5.107937293 -0.059555400 -0.161565922 -8.292452021 8.368321654 -3.741177337
1430533000.160278082 -4.829789939 -0.041249126 -0.200451606 -8.350063398 8.887096553 -3.688902119
1430533000.170278072 -4.554283141 -0.016894208 -0.231948400 -8.353611785 9.078569080 -3.366932570
1430533000.180278301 -4.288501791 0.001503676 -0.264326532 -8.493473936 8.933677169 -2.870412338
1430533000.190278053 -4.059369908 0.019823326 -0.283165974 -8.680820236 8.450244984 -2.159440946
1430533000.200278044 -3.895162826 0.038377884 -0.292696330 -8.922800670 7.547557690 -1.305813732
1430533000.210278034 -3.824540996 0.046706401 -0.286491581 -9.181515579 6.217200754 -0.325845634
1430533000.220278263 -3.853779432 0.051612173 -0.266399997 -9.485683728 4.739636657 0.596728789
1430533000.230278254 -3.971745858 0.046767146 -0.233744493 -9.758774603 3.353564974 1.315795783
1430533000.240278006 -4.163036801 0.035168158 -0.187556477 -9.949188861 2.076179941 1.960789364
1430533000.250278234 -4.402741289 0.019366156 -0.139000326 -10.094253959 0.947590931 2.378369272
1430533000.260278225 -4.664258052 0.004133982 -0.090285343 -10.231633720 -0.051035499 2.709265369
1430533000.270278215 -4.930836615 -0.018869269 -0.042372202 -10.248178211 -0.842715260 2.932544871
1430533000.280277967 -5.172624410 -0.030671945 -0.000113410 -10.268630480 -1.486761590 3.004531315
