# timestamp(s) wx wy wz ax ay az
1430532999.710278034 -4.440408937 -0.089867573 -0.085466770 -9.776564514 0.551701508 -6.181008395
1430532999.720278025 -4.442064486 -0.088002814 -0.085174754 -9.829971254 0.781282871 -6.105990553
1430532999.730278015 -4.442469551 -0.092218844 -0.080622976 -9.807418890 1.113807194 -6.076279237
1430532999.740278006 -4.443295197 -0.090506196 -0.083700237 -9.780193295 1.317963938 -6.049729689
1430532999.750277996 -4.442622993 -0.087974319 -0.080991757 -9.803459133 1.605859458 -5.979713261
1430532999.760277987 -4.442019045 -0.091769536 -0.085971267 -9.795843341 1.831931296 -5.869566111
1430532999.770277977 -4.441815254 -0.087478912 -0.080157576 -9.851282507 2.074689328 -5.769019882
1430532999.780277967 -4.438700066 -0.089184560 -0.081197682 -9.838475009 2.358744387 -5.707810859
1430532999.790277958 -4.442716775 -0.086485025 -0.082405183 -9.865938847 2.552334308 -5.572052942
1430532999.800277948 -4.439719407 -0.087070095 -0.086355504 -9.881053023 2.784434010 -5.420884458
1430532999.810277939 -4.464846726 0.053561844 -0.028389808 -8.414953880 4.851909901 -0.230994069
1430532999.820277929 -4.463430722 0.053268918 -0.026076859 -8.408281322 4.798979989 0.031182091
1430532999.830277920 -4.465472108 0.055109585 -0.025801531 -8.393140506 4.794182894 0.196138600
1430532999.840277910 -4.467335644 0.054032796 -0.028625757 -8.367881889 4.815715649 0.392576444
1430532999.850277901 -4.465282937 0.056496792 -0.026963684 -8.409172939 4.757114248 0.640129779
1430532999.860277891 -4.466169835 0.055267747 -0.027831859 -8.397030104 4.696713404 0.803881049
1430532999.870277882 -4.466460429 0.056347922 -0.024651738 -8.384993178 4.691977092 1.008065637
1430532999.880277872 -4.463955949 0.053552164 -0.026906271 -8.357839810 4.612584975 1.213128620
1430532999.890277863 -4.464949461 0.057265158 -0.025831124 -8.432069943 4.573184264 1.388830494
1430532999.900277853 -4.464825967 0.054047896 -0.024736198 -8.382705288 4.478272091 1.584235965
1430532999.910277843 -4.466725503 0.056245697 -0.026749414 -8.451153052 4.398185068 1.799026732
1430532999.920277834 -4.324580341 0.116299820 -0.076654353 -8.871254275 2.840605687 5.455485222
1430532999.930277824 -4.324304857 0.117186890 -0.074028912 -8.850127120 2.623582771 5.561399379
1430532999.940277815 -4.329679512 0.115319062 -0.076566879 -8.829636949 2.331934638 5.612143814
1430532999.950277805 -4.324918919 0.114357051 -0.075378239 -8.862697579 2.125083119 5.746570093
1430532999.960277796 -4.327015195 0.113638867 -0.076095007 -8.878331846 1.859296658 5.817880647
1430532999.970277786 -4.324129660 0.114797989 -0.076802340 -8.905061612 1.591815553 5.856493418
1430532999.980277777 -4.323488969 0.114839061 -0.078825965 -8.872179181 1.352831751 5.952802123
1430532999.990277767 -4.325830942 0.116092959 -0.074163076 -8.890459493 1.076054038 5.979094527
1430533000.000277758 -4.327730336 0.115471843 -0.079399798 -8.944726137 0.781607964 5.976995360
1430533000.010277748 -4.514322547 -0.001964723 -0.113867654 -9.056588325 3.473093452 -1.713051919
1430533000.020277739 -4.512612270 -0.002053743 -0.114423826 -9.015464854 3.548887762 -1.556948175
1430533000.030277729 -4.514383115 0.001494986 -0.114287926 -9.047918646 3.598488763 -1.441614558
1430533000.040277719 -4.512084603 0.001748343 -0.114983648 -9.067928961 3.635970551 -1.289224610
1430533000.050277710 -4.515105286 -0.000563219 -0.111363946 -9.110531228 3.686644764 -1.123834004
1430533000.060277700 -4.511664039 -0.001753805 -0.112637274 -9.057854010 3.737548846 -0.894438664
1430533000.070277691 -4.513019276 0.000789147 -0.112095973 -9.110100052 3.763701919 -0.767785316
1430533000.080277681 -4.513135702 -0.001229236 -0.111903719 -9.091520708 3.767782565 -0.577190814
1430533000.090277672 -4.515991115 -0.002435912 -0.114245113 -9.073532516 3.814150257 -0.460014392
1430533000.100277662 -4.513570844 0.001046885 -0.111504623 -9.084817260 3.786581993 -0.295905894
1430533000.110277653 -4.513150817 -0.001882317 -0.113573555 -9.093436525 3.768797870 -0.087311231
1430533000.120277643 -4.682294851 -0.074579761 -0.205658962 -9.096979753 5.547892905 -2.656473915
1430533000.130277634 -4.684810625 -0.075110302 -0.204956979 -9.071326775 5.687277135 -2.347753631
1430533000.140277624 -4.679008259 -0.075894740 -0.200854927 -9.086519330 5.758458425 -2.103439424
1430533000.150277615 -4.684672080 -0.077382248 -0.204225750 -9.054982112 5.815268191 -1.826646470
1430533000.160277605 -4.679460847 -0.076897296 -0.205258211 -9.145320131 5.885764101 -1.549670552
1430533000.170277596 -4.684835910 -0.072101132 -0.201503068 -9.113105221 5.922844696 -1.261187422
1430533000.180277586 -4.684218250 -0.073844299 -0.204460395 -9.151087570 5.951040408 -1.012587692
1430533000.190277576 -4.680871583 -0.074737995 -0.202755777 -9.173519653 5.993507391 -0.724669690
1430533000.200277567 -4.679423662 -0.072473554 -0.203396929 -9.191149078 5.988584935 -0.434299121
1430533000.210277557 -4.609868414 0.051585411 -0.114191712 -9.978387188 0.062842972 3.247053136
1430533000.220277548 -4.610282890 0.053854704 -0.114762353 -9.980497030 -0.075538595 3.228957263
1430533000.230277538 -4.606577453 0.053907814 -0.115941330 -10.003424682 -0.232782009 3.175505245
1430533000.240277529 -4.606204185 0.053083065 -0.113067445 -9.994605595 -0.407307281 3.201415579
1430533000.250277519 -4.607122628 0.052382199 -0.113446475 -9.989386531 -0.568969418 3.139190268
1430533000.260277510 -4.605594486 0.054990938 -0.115307132 -10.023443010 -0.745657272 3.115574254
1430533000.270277500 -4.607717129 0.050798838 -0.115573745 -9.981867146 -0.869053167 3.093982545
1430533000.280277491 -4.606467201 0.056695058 -0.115106394 -9.988054350 -1.006721726 3.012084666
1430533000.290277481 -4.609153615 0.052751690 -0.117078148 -9.997727376 -1.216975154 2.938979868
1430533000.300277472 -4.856122258 0.016754037 -0.092575606 -9.121956454 -0.999186725 2.568511203
1430533000.310277462 -4.856131517 0.016896269 -0.091648204 -9.059234693 -1.163935051 2.510727266
1430533000.320277452 -4.855372621 0.016034127 -0.093062564 -9.068123707 -1.278398506 2.421236242
1430533000.330277443 -4.854555349 0.015871968 -0.093442327 -9.036976714 -1.414431057 2.374673848
1430533000.340277433 -4.858676733 0.015597814 -0.091700417 -9.045370924 -1.546889498 2.289153584
1430533000.350277424 -4.855339285 0.013116376 -0.093659350 -9.042776282 -1.648675805 2.223606979
1430533000.360277414 -4.859155375 0.016054619 -0.093688309 -9.044533273 -1.741310416 2.136986898
1430533000.370277405 -4.854593001 0.017362588 -0.093746059 -9.075764188 -1.916209233 2.047354537
1430533000.380277395 -4.853993369 0.015861160 -0.094758912 -9.049694030 -1.985134314 1.914231411
1430533000.390277386 -5.072812530 0.016285804 -0.123125697 -9.349201313 -1.836766795 2.508474536
1430533000.400277376 -5.074227290 0.019041137 -0.120504756 -9.343750391 -1.968590868 2.374934398
1430533000.410277367 -5.074439328 0.017467855 -0.119982581 -9.363009641 -2.092214624 2.307659502
1430533000.420277357 -5.074520861 0.015496615 -0.117704995 -9.316000958 -2.214805545 2.127519043
1430533000.430277348 -5.073892829 0.015481725 -0.121034125 -9.349257977 -2.348443909 2.050707848
1430533000.440277338 -5.073576270 0.012223669 -0.119386485 -9.347209708 -2.448162154 1.914013175
1430533000.450277328 -5.076115238 0.015400892 -0.118766158 -9.351758119 -2.552278851 1.793647496
1430533000.460277319 -5.075276367 0.013414978 -0.121217675 -9.294289076 -2.632352621 1.674117418
1430533000.470277309 -5.071651528 0.016932622 -0.119801450 -9.323909784 -2.812515192 1.501272404
1430533000.480277300 -5.073643415 0.015768831 -0.118975754 -9.299907554 -2.887272176 1.391393024
1430533000.490277290 -5.071151868 0.015666880 -0.122149744 -9.331287833 -2.953847981 1.205725915
1430533000.500277281 -5.189983269 -0.001157157 -0.147376885 -9.210637958 -2.904803817 0.949072178
1430533000.510277271 -5.188750331 0.001207028 -0.144483950 -9.217221105 -2.946811429 0.829562156
1430533000.520277262 -5.188961464 0.003266178 -0.145260486 -9.157767110 -3.040433500 0.642952610
1430533000.530277252 -5.187279948 0.004588240 -0.144895528 -9.183999957 -3.072864681 0.466185704
1430533000.540277243 -5.192450499 0.002427159 -0.145000204 -9.175224027 -3.077418504 0.312230196
1430533000.550277233 -5.189207148 0.003867366 -0.147008763 -9.172097232 -3.142354991 0.158056580
1430533000.560277224 -5.192847787 0.002388389 -0.146071851 -9.219292613 -3.128942190 -0.056532212
1430533000.570277214 -5.186914663 0.003068714 -0.146286035 -9.195628718 -3.182972576 -0.176079714
1430533000.580277205 -5.189924743 0.000141738 -0.145964675 -9.186982297 -3.170331924 -0.273307486
1430533000.590277195 -5.188569498 0.001379478 -0.149090801 -9.158812450 -3.174362452 -0.501341437
1430533000.600277185 -5.189542394 0.002511937 -0.142965282 -9.130717990 -3.177826774 -0.672733609
1430533000.610277176 -5.188652336 0.000132210 -0.144524513 -9.118215096 -3.167081430 -0.822224458
1430533000.620277166 -5.189013665 -0.001139055 -0.146204368 -9.147862038 -3.098071640 -1.027851433
1430533000.630277157 -5.189290466 0.000107608 -0.145701694 -9.112776084 -3.047003557 -1.157796803
1430533000.640277147 -5.191892618 -0.000124213 -0.142647091 -9.124303460 -2.969534635 -1.360925865
1430533000.650277138 -5.187915138 -0.000117133 -0.144874601 -9.142490322 -2.902967092 -1.499280751
1430533000.660277128 -5.190819835 -0.000021705 -0.146322090 -9.142869332 -2.892925350 -1.663620507
1430533000.670277119 -5.189486378 0.003917231 -0.145220310 -9.148396241 -2.775854188 -1.801153099
1430533000.680277109 -5.190059851 -0.002645604 -0.147134898 -9.120329661 -2.724685948 -1.956351897
1430533000.690277100 -5.186950424 -0.000377867 -0.144469984 -9.124773852 -2.645496845 -2.094728157
1430533000.700277090 -5.287412672 -0.029685677 -0.111250289 -9.123814326 -2.254221641 -3.202835419
1430533000.710277081 -5.285516697 -0.026855176 -0.111326255 -9.133531425 -2.108039387 -3.317801953
1430533000.720277071 -5.292278603 -0.025990597 -0.114823064 -9.116384470 -1.959593217 -3.453890086
1430533000.730277061 -5.287917901 -0.025210250 -0.108729659 -9.132631710 -1.779220566 -3.530346716
1430533000.740277052 -5.288221432 -0.028181859 -0.112506690 -9.139987310 -1.596414264 -3.615328531
1430533000.750277042 -5.287943050 -0.026084682 -0.108941838 -9.133269384 -1.394129999 -3.682469141
